Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
56770-82575,OF,Yordan,Yordan Alvarez,Alvarez,14.216667175292969,6,3900,OAK@HOU,HOU,OAK,,,,,,OF/UTIL
56770-6273,OF,Michael,Michael Brantley,Brantley,22.666666666666668,3,3800,OAK@HOU,HOU,OAK,,,,,,OF/UTIL
56770-12948,OF,Bryce,Bryce Harper,Harper,9.799999872843424,6,3800,PHI@ATL,PHI,ATL,,,,,,OF/UTIL
56770-12928,1B,Eric,Eric Hosmer,Hosmer,15.183333079020182,6,3700,SD@TEX,SD,TEX,,,,,,C/1B/UTIL
56770-14562,2B,Jose,Jose Altuve,Altuve,12.466667175292969,6,3700,OAK@HOU,HOU,OAK,,,,,,2B/UTIL
56770-16951,3B,Anthony,Anthony Rendon,Rendon,8.05999984741211,5,3600,LAA@TOR,LAA,TOR,,,,,,3B/UTIL
56770-11334,1B,Freddie,Freddie Freeman,Freeman,7.650000254313151,6,3600,PHI@ATL,ATL,PHI,,,,,,C/1B/UTIL
56770-21705,2B/SS,Marcus,Marcus Semien,Semien,15.016666412353516,6,3600,LAA@TOR,TOR,LAA,,,,,,2B/SS/UTIL
56770-38321,OF,Joey,Joey Gallo,Gallo,13.466667175292969,6,3600,SD@TEX,TEX,SD,,,,,,OF/UTIL
56770-82440,OF,Shohei,Shohei Ohtani,Ohtani,14.449999491373697,6,3500,LAA@TOR,LAA,TOR,,,,,,OF/UTIL
56770-11322,3B/2B,Mike,Mike Moustakas,Moustakas,15.516666412353516,6,3500,CIN@ARI,CIN,ARI,,,,,,2B/3B/UTIL
56770-16983,OF,George,George Springer,Springer,12.341176949295344,51,3500,LAA@TOR,TOR,LAA,IL,Quadriceps,,,,OF/UTIL
56770-13929,3B,Manny,Manny Machado,Machado,8.37142835344587,7,3500,SD@TEX,SD,TEX,,,,,,3B/UTIL
