Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
56770-83177,C,Grayson,Grayson Greiner,Greiner,1.5,2,2000,DET@CLE,DET,CLE,,,,,,C/1B/UTIL
56770-60649,C,Alex,Alex Jackson,Jackson,0,1,2000,PHI@ATL,ATL,PHI,,,,,,C/1B/UTIL
56770-13034,SS/OF,Charlie,Charlie Culberson,Culberson,2.25,4,2000,SD@TEX,TEX,SD,,,,,,SS/OF/UTIL
56770-79112,3B,Yu,Yu Chang,Chang,4.800000190734863,4,2000,DET@CLE,CLE,DET,,,,,,3B/UTIL
56770-17167,1B,Brad,Brad Miller,Miller,1.2399999618530273,5,2000,PHI@ATL,PHI,ATL,,,,,,C/1B/UTIL
56770-79128,C,Garrett,Garrett Stubbs,Stubbs,0.6928571292332241,14,2000,OAK@HOU,HOU,OAK,,,,,,C/1B/UTIL
56770-110911,OF,Robel,Robel Garcia,Garcia,2.066666603088379,3,2000,OAK@HOU,HOU,OAK,,,,,,OF/UTIL
56770-6005,OF,Matt,Matt Joyce,Joyce,3,3,2000,PHI@ATL,PHI,ATL,,,,,,OF/UTIL
56770-68471,2B,Tony,Tony Kemp,Kemp,2.5,6,2000,OAK@HOU,OAK,HOU,,,,,,2B/UTIL
56770-21890,SS,Orlando,Orlando Arcia,Arcia,1.625,4,2000,PHI@ATL,ATL,PHI,,,,,,SS/UTIL
56770-79240,C,Aramis,Aramis Garcia,Garcia,0.75,4,2000,OAK@HOU,OAK,HOU,,,,,,C/1B/UTIL
56770-68499,3B/OF,Johan,Johan Camargo,Camargo,1,3,2000,PHI@ATL,ATL,PHI,,,,,,3B/OF/UTIL
56770-68513,SS,Alex,Alex Blandino,Blandino,2.6,5,2000,CIN@ARI,CIN,ARI,,,,,,SS/UTIL
56770-68538,2B,Franklin,Franklin Barreto,Barreto,1.8095238095238095,21,2000,LAA@TOR,LAA,TOR,IL,Elbow,,,,2B/UTIL
56770-118214,3B/OF,Wyatt,Wyatt Mathisen,Mathisen,1.2,5,2000,CIN@ARI,ARI,CIN,,,,,,3B/OF/UTIL
56770-118227,OF,Jorge,Jorge Ona,Ona,9.319999694824219,5,2000,SD@TEX,SD,TEX,IL,Elbow,,,,OF/UTIL
56770-52182,C,Reese,Reese McGuire,McGuire,1.4684210325542248,19,2000,LAA@TOR,TOR,LAA,,,,,,C/1B/UTIL
56770-96764,OF,Jonathan,Jonathan Davis,Davis,0.800000011920929,4,2000,LAA@TOR,TOR,LAA,,,,,,OF/UTIL
