Pitchers to use:
	Joe Ryan $11000 [Minnesota Twins] vs New York Yankees - Overall: -9.94 K% Average: 0.25 K% vs L: 0.19 K% vs R: 0.31
	Tucker Barnhart $2100 [Chicago Cubs] vs Blake Snell - Overall: -0.32 HR Rating: -0.84 Value Rating: -0.15
	Jacob Stallings $2200 [Miami Marlins] vs Charlie Morton - Overall: -0.41 HR Rating: -2.82 Value Rating: -0.19
	Jose Herrera $2000 [Arizona Diamondbacks] vs Brady Singer - Overall: -0.59 HR Rating: -2.87 Value Rating: -0.3
	Andrew Knizner $2000 [St. Louis Cardinals] vs John Brebbia - Overall: -0.74 HR Rating: 0.9 Value Rating: -0.37

First Basemen to use:
	Matt Olson $4100 [Atlanta Braves] vs Bryan Hoeing - Overall: 13.58 HR Rating: 20.13 Value Rating: 3.31
	Pete Alonso $4400 [New York Mets] vs Josiah Gray - Overall: 5.8 HR Rating: 13.03 Value Rating: 1.32
	Vladimir Guerrero Jr. $4000 [Toronto Blue Jays] vs Mike Clevinger - Overall: 4.75 HR Rating: 4.19 Value Rating: 1.19
	Jesus Aguilar $2500 [Oakland Athletics] vs Griffin Canning - Overall: 3.56 HR Rating: 12.37 Value Rating: 1.42
	Rowdy Tellez $3700 [Milwaukee Brewers] vs Spencer Turnbull - Overall: 3.53 HR Rating: 1.91 Value Rating: 0.95
	Christian Walker $3100 [Arizona Diamondbacks] vs Brady Singer - Overall: 3.06 HR Rating: -1.36 Value Rating: 0.99
	Gavin Sheets $2800 [Chicago White Sox] vs Jose Berrios - Overall: 2.8 HR Rating: 6.97 Value Rating: 1.0
	Joey Meneses $2600 [Washington Nationals] vs Jose Butto - Overall: 2.77 HR Rating: 7.29 Value Rating: 1.07
	Anthony Rizzo $3400 [New York Yankees] vs Joe Ryan - Overall: 2.72 HR Rating: 5.7 Value Rating: 0.8
	Paul Goldschmidt $3500 [St. Louis Cardinals] vs John Brebbia - Overall: 2.62 HR Rating: 10.15 Value Rating: 0.75
	Luke Voit $2400 [Milwaukee Brewers] vs Spencer Turnbull - Overall: 2.09 HR Rating: -2.42 Value Rating: 0.87
	Brandon Belt $2400 [Toronto Blue Jays] vs Mike Clevinger - Overall: 2.08 HR Rating: 3.85 Value Rating: 0.87
	Pavin Smith $3200 [Arizona Diamondbacks] vs Brady Singer - Overall: 1.82 HR Rating: 0.55 Value Rating: 0.57
	Vinnie Pasquantino $3000 [Kansas City Royals] vs Ryne Nelson - Overall: 1.61 HR Rating: 2.33 Value Rating: 0.54
	LaMonte Wade Jr. $2700 [San Francisco Giants] vs Jake Woodford - Overall: 1.02 HR Rating: 2.13 Value Rating: 0.38
	Yuli Gurriel $2300 [Miami Marlins] vs Charlie Morton - Overall: 0.95 HR Rating: -2.59 Value Rating: 0.41
	Trey Mancini $2600 [Chicago Cubs] vs Blake Snell - Overall: 0.92 HR Rating: -0.07 Value Rating: 0.36
	Garrett Cooper $2900 [Miami Marlins] vs Charlie Morton - Overall: 0.88 HR Rating: -2.14 Value Rating: 0.3
	Joey Gallo $3500 [Minnesota Twins] vs Nestor Cortes - Overall: 0.79 HR Rating: 1.25 Value Rating: 0.23
	Wilmer Flores $2900 [San Francisco Giants] vs Jake Woodford - Overall: 0.57 HR Rating: 1.56 Value Rating: 0.2
	Andrew Vaughn $3000 [Chicago White Sox] vs Jose Berrios - Overall: 0.32 HR Rating: -3.08 Value Rating: 0.11
	Jake Cronenworth $3000 [San Diego Padres] vs Justin Steele - Overall: 0.31 HR Rating: -1.05 Value Rating: 0.1
	Spencer Torkelson $2800 [Detroit Tigers] vs Eric Lauer - Overall: 0.21 HR Rating: 0.39 Value Rating: 0.07
	Matt Carpenter $2900 [San Diego Padres] vs Justin Steele - Overall: 0.0 HR Rating: 0.27 Value Rating: 0.0
	Ryan Noda $2300 [Oakland Athletics] vs Griffin Canning - Overall: 0.0 HR Rating: 0.0 Value Rating: 0.0
	Donovan Solano $2400 [Minnesota Twins] vs Nestor Cortes - Overall: -0.19 HR Rating: -0.21 Value Rating: -0.08
	Dominic Smith $2400 [Washington Nationals] vs Jose Butto - Overall: -0.56 HR Rating: -3.52 Value Rating: -0.23
	Eric Hosmer $2500 [Chicago Cubs] vs Blake Snell - Overall: -0.78 HR Rating: -1.53 Value Rating: -0.31

Second Basemen to use:
	Ozzie Albies $3100 [Atlanta Braves] vs Bryan Hoeing - Overall: 4.07 HR Rating: 5.75 Value Rating: 1.31
	Michael Chavis $2100 [Washington Nationals] vs Jose Butto - Overall: 3.93 HR Rating: 9.88 Value Rating: 1.87
	Luis Garcia $2500 [Washington Nationals] vs Jose Butto - Overall: 3.73 HR Rating: 9.61 Value Rating: 1.49
	Tony Kemp $2500 [Oakland Athletics] vs Griffin Canning - Overall: 2.88 HR Rating: 9.24 Value Rating: 1.15
	Jeff McNeil $3000 [New York Mets] vs Josiah Gray - Overall: 2.75 HR Rating: 3.12 Value Rating: 0.92
	Nolan Gorman $3500 [St. Louis Cardinals] vs John Brebbia - Overall: 1.7 HR Rating: 7.19 Value Rating: 0.49
	Gleyber Torres $3100 [New York Yankees] vs Joe Ryan - Overall: 1.29 HR Rating: 4.42 Value Rating: 0.42
	Ketel Marte $3000 [Arizona Diamondbacks] vs Brady Singer - Overall: 1.24 HR Rating: -5.61 Value Rating: 0.41
	Cavan Biggio $2100 [Toronto Blue Jays] vs Mike Clevinger - Overall: 1.02 HR Rating: 1.41 Value Rating: 0.49
